train,test,lambda,training_mse,test_mse
2015a.csv,2015b.csv,0.800000,0.003542,0.004593
2016a.csv,2016b.csv,0.800000,0.000024,0.000033
2017a.csv,2017b.csv,0.800000,0.000024,0.000026
2018a.csv,2018b.csv,0.800000,0.112173,0.135887
2019a.csv,2019b.csv,0.800000,0.108192,0.138868
2020a.csv,2020b.csv,0.800000,0.000298,0.000275
2015a.csv,2015b.csv,0.810000,0.003603,0.004671
2016a.csv,2016b.csv,0.810000,0.000025,0.000033
2017a.csv,2017b.csv,0.810000,0.000025,0.000027
2018a.csv,2018b.csv,0.810000,0.113154,0.136975
2019a.csv,2019b.csv,0.810000,0.109145,0.139885
2020a.csv,2020b.csv,0.810000,0.000302,0.000279
2015a.csv,2015b.csv,0.820000,0.003665,0.004749
2016a.csv,2016b.csv,0.820000,0.000025,0.000034
2017a.csv,2017b.csv,0.820000,0.000025,0.000027
2018a.csv,2018b.csv,0.820000,0.114126,0.138054
2019a.csv,2019b.csv,0.820000,0.110091,0.140893
2020a.csv,2020b.csv,0.820000,0.000307,0.000283
2015a.csv,2015b.csv,0.830000,0.003726,0.004828
2016a.csv,2016b.csv,0.830000,0.000026,0.000034
2017a.csv,2017b.csv,0.830000,0.000026,0.000028
2018a.csv,2018b.csv,0.830000,0.115091,0.139123
2019a.csv,2019b.csv,0.830000,0.111030,0.141892
2020a.csv,2020b.csv,0.830000,0.000312,0.000287
2015a.csv,2015b.csv,0.840000,0.003788,0.004906
2016a.csv,2016b.csv,0.840000,0.000026,0.000035
2017a.csv,2017b.csv,0.840000,0.000026,0.000028
2018a.csv,2018b.csv,0.840000,0.116047,0.140183
2019a.csv,2019b.csv,0.840000,0.111963,0.142883
2020a.csv,2020b.csv,0.840000,0.000317,0.000291
2015a.csv,2015b.csv,0.850000,0.003850,0.004985
2016a.csv,2016b.csv,0.850000,0.000027,0.000036
2017a.csv,2017b.csv,0.850000,0.000027,0.000029
2018a.csv,2018b.csv,0.850000,0.116997,0.141234
2019a.csv,2019b.csv,0.850000,0.112890,0.143867
2020a.csv,2020b.csv,0.850000,0.000322,0.000294
2015a.csv,2015b.csv,0.860000,0.003912,0.005064
2016a.csv,2016b.csv,0.860000,0.000027,0.000036
2017a.csv,2017b.csv,0.860000,0.000027,0.000029
2018a.csv,2018b.csv,0.860000,0.117939,0.142277
2019a.csv,2019b.csv,0.860000,0.113809,0.144842
2020a.csv,2020b.csv,0.860000,0.000326,0.000298
2015a.csv,2015b.csv,0.870000,0.003974,0.005143
2016a.csv,2016b.csv,0.870000,0.000028,0.000037
2017a.csv,2017b.csv,0.870000,0.000028,0.000030
2018a.csv,2018b.csv,0.870000,0.118873,0.143308
2019a.csv,2019b.csv,0.870000,0.114722,0.145810
2020a.csv,2020b.csv,0.870000,0.000332,0.000302
2015a.csv,2015b.csv,0.880000,0.004036,0.005222
2016a.csv,2016b.csv,0.880000,0.000028,0.000037
2017a.csv,2017b.csv,0.880000,0.000028,0.000030
2018a.csv,2018b.csv,0.880000,0.119798,0.144330
2019a.csv,2019b.csv,0.880000,0.115629,0.146769
2020a.csv,2020b.csv,0.880000,0.000336,0.000306
2015a.csv,2015b.csv,0.890000,0.004099,0.005302
2016a.csv,2016b.csv,0.890000,0.000029,0.000038
2017a.csv,2017b.csv,0.890000,0.000028,0.000031
2018a.csv,2018b.csv,0.890000,0.120718,0.145346
2019a.csv,2019b.csv,0.890000,0.116528,0.147720
2020a.csv,2020b.csv,0.890000,0.000341,0.000310
2015a.csv,2015b.csv,0.900000,0.004161,0.005381
2016a.csv,2016b.csv,0.900000,0.000029,0.000039
2017a.csv,2017b.csv,0.900000,0.000029,0.000031
2018a.csv,2018b.csv,0.900000,0.121629,0.146352
2019a.csv,2019b.csv,0.900000,0.117422,0.148664
2020a.csv,2020b.csv,0.900000,0.000346,0.000314
2015a.csv,2015b.csv,0.910000,0.004224,0.005461
2016a.csv,2016b.csv,0.910000,0.000029,0.000039
2017a.csv,2017b.csv,0.910000,0.000029,0.000032
2018a.csv,2018b.csv,0.910000,0.122533,0.147348
2019a.csv,2019b.csv,0.910000,0.118309,0.149600
2020a.csv,2020b.csv,0.910000,0.000351,0.000317
2015a.csv,2015b.csv,0.920000,0.004287,0.005541
2016a.csv,2016b.csv,0.920000,0.000030,0.000040
2017a.csv,2017b.csv,0.920000,0.000030,0.000032
2018a.csv,2018b.csv,0.920000,0.123429,0.148336
2019a.csv,2019b.csv,0.920000,0.119189,0.150529
2020a.csv,2020b.csv,0.920000,0.000356,0.000321
2015a.csv,2015b.csv,0.930000,0.004351,0.005621
2016a.csv,2016b.csv,0.930000,0.000030,0.000040
2017a.csv,2017b.csv,0.930000,0.000030,0.000032
2018a.csv,2018b.csv,0.930000,0.124319,0.149317
2019a.csv,2019b.csv,0.930000,0.120065,0.151451
2020a.csv,2020b.csv,0.930000,0.000361,0.000325
2015a.csv,2015b.csv,0.940000,0.004414,0.005702
2016a.csv,2016b.csv,0.940000,0.000031,0.000041
2017a.csv,2017b.csv,0.940000,0.000031,0.000033
2018a.csv,2018b.csv,0.940000,0.125203,0.150290
2019a.csv,2019b.csv,0.940000,0.120933,0.152364
2020a.csv,2020b.csv,0.940000,0.000366,0.000330
2015a.csv,2015b.csv,0.950000,0.004477,0.005782
2016a.csv,2016b.csv,0.950000,0.000031,0.000042
2017a.csv,2017b.csv,0.950000,0.000031,0.000033
2018a.csv,2018b.csv,0.950000,0.126079,0.151254
2019a.csv,2019b.csv,0.950000,0.121796,0.153272
2020a.csv,2020b.csv,0.950000,0.000370,0.000333
2015a.csv,2015b.csv,0.960000,0.004541,0.005862
2016a.csv,2016b.csv,0.960000,0.000032,0.000042
2017a.csv,2017b.csv,0.960000,0.000032,0.000034
2018a.csv,2018b.csv,0.960000,0.126948,0.152210
2019a.csv,2019b.csv,0.960000,0.122653,0.154172
2020a.csv,2020b.csv,0.960000,0.000375,0.000337
2015a.csv,2015b.csv,0.970000,0.004605,0.005943
2016a.csv,2016b.csv,0.970000,0.000032,0.000043
2017a.csv,2017b.csv,0.970000,0.000032,0.000034
2018a.csv,2018b.csv,0.970000,0.127811,0.153159
2019a.csv,2019b.csv,0.970000,0.123504,0.155065
2020a.csv,2020b.csv,0.970000,0.000380,0.000341
2015a.csv,2015b.csv,0.980000,0.004669,0.006024
2016a.csv,2016b.csv,0.980000,0.000033,0.000043
2017a.csv,2017b.csv,0.980000,0.000033,0.000035
2018a.csv,2018b.csv,0.980000,0.128666,0.154099
2019a.csv,2019b.csv,0.980000,0.124348,0.155951
2020a.csv,2020b.csv,0.980000,0.000385,0.000345
2015a.csv,2015b.csv,0.990000,0.004733,0.006105
2016a.csv,2016b.csv,0.990000,0.000033,0.000044
2017a.csv,2017b.csv,0.990000,0.000033,0.000035
2018a.csv,2018b.csv,0.990000,0.129515,0.155031
2019a.csv,2019b.csv,0.990000,0.125189,0.156831
2020a.csv,2020b.csv,0.990000,0.000390,0.000349
2015a.csv,2015b.csv,1.000000,0.004797,0.006186
2016a.csv,2016b.csv,1.000000,0.000034,0.000045
2017a.csv,2017b.csv,1.000000,0.000034,0.000036
2018a.csv,2018b.csv,1.000000,0.130357,0.155956
2019a.csv,2019b.csv,1.000000,0.126022,0.157704
2020a.csv,2020b.csv,1.000000,0.000396,0.000353
