train,test,lambda,training_mse,test_mse
2016a.csv,2016b.csv,0.180000,0.000003,0.000003
2017a.csv,2017b.csv,0.180000,0.000003,0.000003
2018a.csv,2018b.csv,0.180000,0.033805,0.043724
2019a.csv,2019b.csv,0.180000,0.034427,0.054864
2020a.csv,2020b.csv,0.180000,0.000532,0.000635
2015a.csv,2015b.csv,0.190000,0.000492,0.000623
2016a.csv,2016b.csv,0.190000,0.000003,0.000004
2017a.csv,2017b.csv,0.190000,0.000003,0.000004
2018a.csv,2018b.csv,0.190000,0.035240,0.045573
2019a.csv,2019b.csv,0.190000,0.035729,0.056505
2020a.csv,2020b.csv,0.190000,0.000533,0.000634
2015a.csv,2015b.csv,0.200000,0.000525,0.000666
2016a.csv,2016b.csv,0.200000,0.000003,0.000004
2017a.csv,2017b.csv,0.200000,0.000003,0.000004
2018a.csv,2018b.csv,0.200000,0.036685,0.047423
2019a.csv,2019b.csv,0.200000,0.037043,0.058148
2020a.csv,2020b.csv,0.200000,0.000534,0.000634
2015a.csv,2015b.csv,0.210000,0.000558,0.000710
2016a.csv,2016b.csv,0.210000,0.000003,0.000004
2017a.csv,2017b.csv,0.210000,0.000004,0.000004
2018a.csv,2018b.csv,0.210000,0.038138,0.049274
2019a.csv,2019b.csv,0.210000,0.038367,0.059793
2020a.csv,2020b.csv,0.210000,0.000535,0.000633
2015a.csv,2015b.csv,0.220000,0.000593,0.000756
2016a.csv,2016b.csv,0.220000,0.000003,0.000005
2017a.csv,2017b.csv,0.220000,0.000004,0.000005
2018a.csv,2018b.csv,0.220000,0.039597,0.051125
2019a.csv,2019b.csv,0.220000,0.039702,0.061442
2020a.csv,2020b.csv,0.220000,0.000536,0.000633
2015a.csv,2015b.csv,0.230000,0.000628,0.000802
2016a.csv,2016b.csv,0.230000,0.000004,0.000005
2017a.csv,2017b.csv,0.230000,0.000004,0.000005
2018a.csv,2018b.csv,0.230000,0.041059,0.052969
2019a.csv,2019b.csv,0.230000,0.041040,0.063085
2020a.csv,2020b.csv,0.230000,0.000537,0.000632
2015a.csv,2015b.csv,0.240000,0.000664,0.000850
2016a.csv,2016b.csv,0.240000,0.000004,0.000005
2017a.csv,2017b.csv,0.240000,0.000004,0.000005
2018a.csv,2018b.csv,0.240000,0.042522,0.054806
2019a.csv,2019b.csv,0.240000,0.042383,0.064723
2020a.csv,2020b.csv,0.240000,0.000538,0.000631
2015a.csv,2015b.csv,0.250000,0.000701,0.000899
2016a.csv,2016b.csv,0.250000,0.000004,0.000006
2017a.csv,2017b.csv,0.250000,0.000005,0.000005
2018a.csv,2018b.csv,0.250000,0.043985,0.056635
2019a.csv,2019b.csv,0.250000,0.043729,0.066358
2020a.csv,2020b.csv,0.250000,0.000539,0.000631
2015a.csv,2015b.csv,0.260000,0.000738,0.000949
2016a.csv,2016b.csv,0.260000,0.000004,0.000006
2017a.csv,2017b.csv,0.260000,0.000005,0.000006
2018a.csv,2018b.csv,0.260000,0.045449,0.058457
2019a.csv,2019b.csv,0.260000,0.045078,0.067988
2020a.csv,2020b.csv,0.260000,0.000068,0.000073
2015a.csv,2015b.csv,0.270000,0.000777,0.001000
2016a.csv,2016b.csv,0.270000,0.000005,0.000006
2017a.csv,2017b.csv,0.270000,0.000005,0.000006
2018a.csv,2018b.csv,0.270000,0.046909,0.060264
2019a.csv,2019b.csv,0.270000,0.046423,0.069606
2020a.csv,2020b.csv,0.270000,0.000071,0.000077
2015a.csv,2015b.csv,0.280000,0.000816,0.001052
2016a.csv,2016b.csv,0.280000,0.000005,0.000007
2017a.csv,2017b.csv,0.280000,0.000005,0.000006
2018a.csv,2018b.csv,0.280000,0.048368,0.062063
2019a.csv,2019b.csv,0.280000,0.047770,0.071219
2020a.csv,2020b.csv,0.280000,0.000075,0.000081
2015a.csv,2015b.csv,0.290000,0.000856,0.001105
2016a.csv,2016b.csv,0.290000,0.000005,0.000007
2017a.csv,2017b.csv,0.290000,0.000006,0.000007
2018a.csv,2018b.csv,0.290000,0.049823,0.063850
2019a.csv,2019b.csv,0.290000,0.049117,0.072825
2020a.csv,2020b.csv,0.290000,0.000079,0.000085
2015a.csv,2015b.csv,0.300000,0.000896,0.001159
2016a.csv,2016b.csv,0.300000,0.000005,0.000008
2017a.csv,2017b.csv,0.300000,0.000006,0.000007
2018a.csv,2018b.csv,0.300000,0.051272,0.065622
2019a.csv,2019b.csv,0.300000,0.050460,0.074418
2020a.csv,2020b.csv,0.300000,0.000083,0.000088
2015a.csv,2015b.csv,0.310000,0.000938,0.001213
2016a.csv,2016b.csv,0.310000,0.000006,0.000008
2017a.csv,2017b.csv,0.310000,0.000006,0.000007
2018a.csv,2018b.csv,0.310000,0.052715,0.067381
2019a.csv,2019b.csv,0.310000,0.051798,0.076001
2020a.csv,2020b.csv,0.310000,0.000087,0.000092
2015a.csv,2015b.csv,0.320000,0.000980,0.001269
2016a.csv,2016b.csv,0.320000,0.000006,0.000008
2017a.csv,2017b.csv,0.320000,0.000006,0.000007
2018a.csv,2018b.csv,0.320000,0.054153,0.069125
2019a.csv,2019b.csv,0.320000,0.053133,0.077573
2020a.csv,2020b.csv,0.320000,0.000091,0.000096
2015a.csv,2015b.csv,0.330000,0.001022,0.001325
2016a.csv,2016b.csv,0.330000,0.000006,0.000009
2017a.csv,2017b.csv,0.330000,0.000007,0.000008
2018a.csv,2018b.csv,0.330000,0.055584,0.070856
2019a.csv,2019b.csv,0.330000,0.054464,0.079135
2020a.csv,2020b.csv,0.330000,0.000094,0.000099
2015a.csv,2015b.csv,0.340000,0.001065,0.001382
2016a.csv,2016b.csv,0.340000,0.000007,0.000009
2017a.csv,2017b.csv,0.340000,0.000007,0.000008
2018a.csv,2018b.csv,0.340000,0.057007,0.072571
2019a.csv,2019b.csv,0.340000,0.055787,0.080683
2020a.csv,2020b.csv,0.340000,0.000098,0.000103
2015a.csv,2015b.csv,0.350000,0.001109,0.001440
2016a.csv,2016b.csv,0.350000,0.000007,0.000010
2017a.csv,2017b.csv,0.350000,0.000007,0.000008
2018a.csv,2018b.csv,0.350000,0.058424,0.074272
2019a.csv,2019b.csv,0.350000,0.057107,0.082221
2020a.csv,2020b.csv,0.350000,0.000102,0.000107
2015a.csv,2015b.csv,0.360000,0.001154,0.001499
2016a.csv,2016b.csv,0.360000,0.000007,0.000010
2017a.csv,2017b.csv,0.360000,0.000008,0.000009
2018a.csv,2018b.csv,0.360000,0.059833,0.075960
2019a.csv,2019b.csv,0.360000,0.058420,0.083747
2020a.csv,2020b.csv,0.360000,0.000107,0.000111
2015a.csv,2015b.csv,0.370000,0.001199,0.001559
2016a.csv,2016b.csv,0.370000,0.000007,0.000010
2017a.csv,2017b.csv,0.370000,0.000008,0.000009
2018a.csv,2018b.csv,0.370000,0.061232,0.077629
2019a.csv,2019b.csv,0.370000,0.059728,0.085262
2020a.csv,2020b.csv,0.370000,0.000111,0.000115
2015a.csv,2015b.csv,0.380000,0.001245,0.001619
2016a.csv,2016b.csv,0.380000,0.000008,0.000011
2017a.csv,2017b.csv,0.380000,0.000008,0.000009
2018a.csv,2018b.csv,0.380000,0.062622,0.079283
2019a.csv,2019b.csv,0.380000,0.061027,0.086761
2020a.csv,2020b.csv,0.380000,0.000114,0.000118
2015a.csv,2015b.csv,0.390000,0.001291,0.001680
2016a.csv,2016b.csv,0.390000,0.000008,0.000011
2017a.csv,2017b.csv,0.390000,0.000008,0.000010
2018a.csv,2018b.csv,0.390000,0.064004,0.080921
2019a.csv,2019b.csv,0.390000,0.062318,0.088247
2020a.csv,2020b.csv,0.390000,0.000118,0.000122
2015a.csv,2015b.csv,0.400000,0.001338,0.001742
2016a.csv,2016b.csv,0.400000,0.000008,0.000012
2017a.csv,2017b.csv,0.400000,0.000009,0.000010
2018a.csv,2018b.csv,0.400000,0.065376,0.082544
2019a.csv,2019b.csv,0.400000,0.063604,0.089723
2020a.csv,2020b.csv,0.400000,0.000122,0.000126
2015a.csv,2015b.csv,0.410000,0.001385,0.001804
2016a.csv,2016b.csv,0.410000,0.000009,0.000012
2017a.csv,2017b.csv,0.410000,0.000009,0.000010
2018a.csv,2018b.csv,0.410000,0.066740,0.084153
2019a.csv,2019b.csv,0.410000,0.064882,0.091185
2020a.csv,2020b.csv,0.410000,0.000126,0.000129
2015a.csv,2015b.csv,0.420000,0.001433,0.001867
2016a.csv,2016b.csv,0.420000,0.000009,0.000013
2017a.csv,2017b.csv,0.420000,0.000009,0.000011
2018a.csv,2018b.csv,0.420000,0.068092,0.085743
2019a.csv,2019b.csv,0.420000,0.066150,0.092633
2020a.csv,2020b.csv,0.420000,0.000131,0.000133
2015a.csv,2015b.csv,0.430000,0.001481,0.001930
2016a.csv,2016b.csv,0.430000,0.000009,0.000013
2017a.csv,2017b.csv,0.430000,0.000010,0.000011
2018a.csv,2018b.csv,0.430000,0.069436,0.087320
2019a.csv,2019b.csv,0.430000,0.067411,0.094069
2020a.csv,2020b.csv,0.430000,0.000134,0.000136
2015a.csv,2015b.csv,0.440000,0.001530,0.001994
2016a.csv,2016b.csv,0.440000,0.000010,0.000013
2017a.csv,2017b.csv,0.440000,0.000010,0.000012
2018a.csv,2018b.csv,0.440000,0.070769,0.088880
2019a.csv,2019b.csv,0.440000,0.068666,0.095494
2020a.csv,2020b.csv,0.440000,0.000138,0.000140
2015a.csv,2015b.csv,0.450000,0.001580,0.002059
2016a.csv,2016b.csv,0.450000,0.000010,0.000014
2017a.csv,2017b.csv,0.450000,0.000010,0.000012
2018a.csv,2018b.csv,0.450000,0.072093,0.090426
2019a.csv,2019b.csv,0.450000,0.069909,0.096902
2020a.csv,2020b.csv,0.450000,0.000143,0.000144
2015a.csv,2015b.csv,0.460000,0.001630,0.002125
2016a.csv,2016b.csv,0.460000,0.000010,0.000014
2017a.csv,2017b.csv,0.460000,0.000011,0.000012
2018a.csv,2018b.csv,0.460000,0.073407,0.091955
2019a.csv,2019b.csv,0.460000,0.071145,0.098298
2020a.csv,2020b.csv,0.460000,0.000147,0.000148
2015a.csv,2015b.csv,0.470000,0.001680,0.002190
2016a.csv,2016b.csv,0.470000,0.000011,0.000015
2017a.csv,2017b.csv,0.470000,0.000011,0.000013
2018a.csv,2018b.csv,0.470000,0.074710,0.093469
2019a.csv,2019b.csv,0.470000,0.072373,0.099682
2020a.csv,2020b.csv,0.470000,0.000151,0.000152
2015a.csv,2015b.csv,0.480000,0.001731,0.002257
2016a.csv,2016b.csv,0.480000,0.000011,0.000015
2017a.csv,2017b.csv,0.480000,0.000012,0.000013
2018a.csv,2018b.csv,0.480000,0.076002,0.094968
2019a.csv,2019b.csv,0.480000,0.073593,0.101054
2020a.csv,2020b.csv,0.480000,0.000155,0.000156
2015a.csv,2015b.csv,0.490000,0.001782,0.002324
2016a.csv,2016b.csv,0.490000,0.000011,0.000016
2017a.csv,2017b.csv,0.490000,0.000012,0.000013
2018a.csv,2018b.csv,0.490000,0.077284,0.096451
2019a.csv,2019b.csv,0.490000,0.074804,0.102413
2020a.csv,2020b.csv,0.490000,0.000160,0.000159
2015a.csv,2015b.csv,0.500000,0.001834,0.002391
2016a.csv,2016b.csv,0.500000,0.000012,0.000016
2017a.csv,2017b.csv,0.500000,0.000012,0.000014
2018a.csv,2018b.csv,0.500000,0.078557,0.097921
2019a.csv,2019b.csv,0.500000,0.076005,0.103758
2020a.csv,2020b.csv,0.500000,0.000164,0.000163
2015a.csv,2015b.csv,0.510000,0.001886,0.002459
2016a.csv,2016b.csv,0.510000,0.000012,0.000017
2017a.csv,2017b.csv,0.510000,0.000013,0.000014
2018a.csv,2018b.csv,0.510000,0.079820,0.099376
2019a.csv,2019b.csv,0.510000,0.077200,0.105093
2020a.csv,2020b.csv,0.510000,0.000168,0.000166
2015a.csv,2015b.csv,0.520000,0.001938,0.002527
