7.600,1.383,1.573,0.996,0.592,0.252,0.410
7.488,1.396,1.522,0.999,0.557,0.322,0.298
7.307,1.303,1.557,1.026,0.585,0.330,0.380
7.228,1.372,1.548,1.036,0.557,0.332,0.290
7.090,1.609,1.479,1.012,0.526,0.194,0.316
6.985,1.373,1.454,0.987,0.495,0.261,0.265
6.852,1.269,1.487,0.920,0.457,0.046,0.036
6.595,1.070,1.323,0.861,0.433,0.074,0.073
6.444,1.159,1.369,0.920,0.357,0.187,0.056
6.374,1.684,1.313,0.871,0.555,0.220,0.167
6.300,1.004,1.439,0.802,0.390,0.099,0.086
6.253,0.794,1.242,0.789,0.430,0.093,0.074
6.198,1.246,1.504,0.881,0.334,0.121,0.014
6.174,0.745,1.529,0.756,0.631,0.322,0.240
6.118,1.258,1.523,0.953,0.564,0.144,0.057
6.086,1.092,1.432,0.881,0.471,0.066,0.050
6.028,0.912,1.312,0.868,0.498,0.126,0.087
5.940,1.187,1.465,0.812,0.264,0.075,0.064
5.890,0.831,1.478,0.831,0.490,0.107,0.028
5.860,0.642,1.236,0.828,0.507,0.246,0.078
5.758,1.201,1.410,0.828,0.199,0.081,0.020
5.697,0.960,1.274,0.854,0.455,0.083,0.027
5.648,1.183,1.452,0.726,0.334,0.082,0.031
5.529,0.685,1.328,0.739,0.245,0.181,0.000
5.467,0.493,1.098,0.718,0.389,0.230,0.144
5.425,1.015,1.401,0.779,0.497,0.113,0.101
5.339,1.221,1.171,0.828,0.508,0.260,0.024
5.285,0.948,1.531,0.667,0.317,0.235,0.038
5.261,0.551,1.438,0.723,0.508,0.300,0.023
5.208,0.801,0.782,0.782,0.418,0.036,0.076
5.192,0.931,1.203,0.660,0.491,0.498,0.028
5.082,0.813,1.321,0.604,0.457,0.370,0.167
4.996,0.611,0.868,0.486,0.381,0.245,0.040
4.906,0.837,1.225,0.815,0.383,0.110,0.130
4.799,1.057,1.183,0.571,0.295,0.043,0.055
4.719,0.947,0.848,0.874,0.383,0.178,0.027
4.696,0.657,1.247,0.672,0.225,0.103,0.066
4.639,0.879,1.313,0.477,0.401,0.070,0.056
4.559,0.850,1.055,0.815,0.283,0.095,0.064
4.519,0.886,0.666,0.752,0.346,0.043,0.164
4.490,0.570,1.167,0.489,0.066,0.106,0.088
4.456,0.562,0.928,0.723,0.527,0.166,0.143
4.390,0.385,1.105,0.308,0.327,0.153,0.052
4.360,0.710,1.181,0.555,0.525,0.566,0.172
4.286,0.336,1.033,0.532,0.344,0.209,0.100
4.166,0.913,1.039,0.644,0.241,0.076,0.067
4.015,0.755,0.765,0.588,0.498,0.200,0.085
3.933,0.274,0.916,0.555,0.148,0.169,0.041
3.663,0.366,1.114,0.433,0.361,0.151,0.089
3.462,0.619,0.378,0.440,0.013,0.331,0.141
3.334,0.359,0.711,0.614,0.555,0.217,0.411
3.083,0.026,0.000,0.105,0.225,0.235,0.035
